Order Date,Category,Region,Sales
2017-11-08,Furniture,South,261.96
2017-11-08,Furniture,South,731.94
2017-06-12,Office Supplies,West,14.62
2016-10-11,Furniture,South,957.5775
2016-10-11,Office Supplies,South,22.368
2015-06-09,Furniture,West,48.86
2015-06-09,Office Supplies,West,7.28
2015-06-09,Technology,West,907.152
2015-06-09,Office Supplies,West,18.504
2015-06-09,Office Supplies,West,114.9
2015-06-09,Furniture,West,1706.184
2015-06-09,Technology,West,911.424
2018-04-15,Office Supplies,South,15.552
2017-12-05,Office Supplies,West,407.976
2016-11-22,Office Supplies,Central,68.81
2016-11-22,Office Supplies,Central,2.544
2015-11-11,Office Supplies,Central,665.88
2015-05-13,Office Supplies,West,55.5
2015-08-27,Office Supplies,West,8.56
2015-08-27,Technology,West,213.48
2015-08-27,Office Supplies,West,22.72
2017-12-09,Office Supplies,Central,19.46
2017-12-09,Office Supplies,Central,60.34
2018-07-16,Furniture,East,71.372
2016-09-25,Furniture,West,1044.63
2017-01-16,Office Supplies,West,11.648
2017-01-16,Technology,West,90.57
2016-09-17,Furniture,East,3083.43
2016-09-17,Office Supplies,East,9.618
2016-09-17,Furniture,East,124.2
2016-09-17,Office Supplies,East,3.264
2016-09-17,Office Supplies,East,86.304
2016-09-17,Office Supplies,East,6.858
2016-09-17,Office Supplies,East,15.76
2018-10-19,Office Supplies,Central,29.472
2017-12-08,Technology,Central,1097.544
2017-12-08,Furniture,Central,190.92
2016-12-27,Office Supplies,Central,113.328
2016-12-27,Furniture,Central,532.3992
2016-12-27,Furniture,Central,212.058
2016-12-27,Technology,Central,371.168
2018-09-10,Technology,Central,147.168
2017-07-17,Office Supplies,West,77.88
2018-09-19,Office Supplies,South,95.616
2017-03-11,Technology,Central,45.98
2017-03-11,Office Supplies,Central,17.46
2015-10-20,Office Supplies,Central,211.96
2017-06-20,Technology,East,45.0
2017-06-20,Technology,East,21.8
2016-04-18,Office Supplies,Central,38.22
2016-04-18,Office Supplies,Central,75.18
2016-04-18,Furniture,Central,6.16
2016-04-18,Furniture,Central,89.99
2017-12-11,Office Supplies,East,15.26
2017-12-11,Technology,East,1029.95
2017-06-17,Office Supplies,East,208.56
2017-06-17,Office Supplies,East,32.4
2017-06-17,Furniture,East,319.41
2017-06-17,Office Supplies,East,14.56
2017-06-17,Technology,East,30.0
2017-06-17,Office Supplies,East,48.48
2017-06-17,Office Supplies,East,1.68
2016-11-24,Technology,West,13.98
2016-11-24,Office Supplies,West,25.824
2016-11-24,Office Supplies,West,146.73
2016-11-24,Furniture,West,79.76
2016-04-30,Furniture,Central,213.115
2015-12-05,Office Supplies,West,1113.024
2015-12-05,Technology,West,167.968
2017-06-04,Office Supplies,South,75.88
2017-09-18,Office Supplies,East,4.616
2018-09-14,Office Supplies,Central,19.05
2016-04-26,Furniture,South,831.936
2016-04-26,Furniture,South,97.04
2016-04-26,Office Supplies,South,72.784
2018-12-09,Office Supplies,Central,1.248
2018-12-09,Furniture,Central,9.708
2018-12-09,Office Supplies,Central,27.24
2015-11-26,Furniture,Central,19.3
2017-06-12,Office Supplies,South,208.16
2017-06-12,Office Supplies,South,16.74
2015-10-12,Office Supplies,West,14.9
2015-10-12,Office Supplies,West,21.39
2016-09-03,Office Supplies,South,200.984
2018-11-13,Office Supplies,Central,230.376
2018-05-28,Furniture,South,301.96
2018-10-26,Technology,Central,19.99
2018-10-26,Office Supplies,Central,6.16
2017-04-05,Office Supplies,Central,158.368
2017-09-17,Office Supplies,West,20.1
2017-09-17,Technology,West,73.584
2017-09-17,Office Supplies,West,6.48
2016-01-31,Office Supplies,Central,12.96
2016-01-31,Furniture,Central,53.34
2016-01-31,Office Supplies,Central,32.96
2018-11-06,Office Supplies,West,5.682
2018-11-09,Furniture,East,96.53
2018-06-17,Office Supplies,West,51.312
2017-09-06,Office Supplies,Central,77.88
2017-08-29,Office Supplies,Central,64.624
2017-08-29,Technology,Central,95.976
2017-08-29,Office Supplies,Central,1.788
2017-12-01,Office Supplies,Central,23.92
2016-11-13,Technology,West,238.896
2016-11-13,Furniture,West,102.36
2016-11-13,Office Supplies,West,36.882
2018-11-23,Technology,South,74.112
2018-11-23,Technology,South,27.992
2018-11-23,Office Supplies,South,3.304
2016-10-15,Technology,Central,339.96
2018-12-25,Furniture,East,41.96
2017-11-03,Office Supplies,Central,75.96
2017-11-03,Office Supplies,Central,27.24
2015-08-25,Office Supplies,East,40.096
2015-08-25,Office Supplies,East,4.72
2015-08-25,Office Supplies,East,23.976
2015-08-25,Office Supplies,East,130.464
2016-03-02,Furniture,West,787.53
2016-04-05,Office Supplies,South,157.794
2017-06-12,Furniture,East,47.04
2017-06-12,Office Supplies,East,30.84
2017-06-12,Office Supplies,East,226.56
2017-06-12,Office Supplies,East,115.02
2017-06-12,Technology,East,68.04
2015-12-26,Furniture,Central,600.558
2015-09-20,Furniture,Central,617.7
2018-11-05,Office Supplies,West,2.388
2018-11-05,Office Supplies,West,243.992
2017-11-06,Furniture,West,81.424
2017-11-06,Furniture,West,238.56
2018-02-02,Technology,East,59.97
2018-02-02,Office Supplies,East,78.304
2018-02-02,Office Supplies,East,21.456
2017-10-13,Office Supplies,West,20.04
2017-10-13,Office Supplies,West,35.44
2017-10-13,Office Supplies,West,11.52
2017-10-13,Office Supplies,West,4.02
2017-10-13,Office Supplies,West,76.176
2017-10-13,Office Supplies,West,65.88
2017-10-13,Furniture,West,43.12
2017-09-05,Furniture,East,82.8
2018-09-18,Office Supplies,West,8.82
2018-09-18,Office Supplies,West,10.86
2018-09-18,Office Supplies,West,143.7
2018-12-22,Office Supplies,Central,839.43
2016-09-07,Office Supplies,West,671.93
